# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 75K of event 'cycles:u'
# Event count (approx.): 34212682593
#
# Overhead  Command  Shared Object                 Symbol                                                                                                                                                                                               
# ........  .......  ............................  .....................................................................................................................................................................................................
#
     0.00%  program  libmodplug.so.1.0.0           [.] 0x000000000001804e
     0.00%  program  libcrypto.so.1.1              [.] OPENSSL_LH_delete
     0.00%  program  libgstvideo-1.0.so.0.2000.0   [.] 0x000000000001a000
     0.00%  program  libcrypto.so.1.1              [.] OPENSSL_LH_insert
     0.00%  program  libopencv_imgproc.so.4.5.5    [.] 0x00000000002165d3
     0.00%  program  libcrypto.so.1.1              [.] 0x000000000015b253
     0.00%  program  libm.so.6                     [.] __cos_fma
     0.00%  program  libstdc++.so.6.0.29           [.] std::locale::_Impl::_M_install_facet
     0.00%  program  libtasn1.so.6.6.2             [.] 0x000000000000b5d1
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000024a4c
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000001d9f2
     0.00%  program  libopencv_imgcodecs.so.4.5.5  [.] 0x00000000000139d0
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000024622
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000024d6a
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b480
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000025e52
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000024687
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000001d930
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b01b
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000024692
     0.00%  program  libjpeg.so.8.2.2              [.] 0x00000000000472d5
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000001d1f0
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000001d8d7
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004721b
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000001da19
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000002bfdd
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000002cbc0
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b3a0
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b88c
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004a943
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b466
     0.00%  program  libcrypto.so.1.1              [.] OPENSSL_LH_free
     0.00%  program  libopencv_imgcodecs.so.4.5.5  [.] 0x0000000000020866
     0.00%  program  libjpeg.so.8.2.2              [.] jpeg_destroy_decompress
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000047319
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000001d993
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b44e
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000022572
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000035b28
     0.00%  program  libjpeg.so.8.2.2              [.] 0x00000000000471b1
     0.00%  program  libjpeg.so.8.2.2              [.] 0x00000000000470a9
     0.00%  program  libopencv_core.so.4.5.5       [.] cv::fastFree
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004a840
     0.00%  program  libtasn1.so.6.6.2             [.] 0x000000000000ccc8
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004721f
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004a755
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000027739
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004a919
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b398
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000022649
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004aaa3
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b40e
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004a713
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000001db02
     0.00%  program  libc.so.6                     [.] _IO_file_read
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004a977
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000024e90
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000023c7e
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000047217
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004bde0
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004a939
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000025814
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004708f
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000024b61
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b007
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b1fb
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004a73e
     0.00%  program  libjpeg.so.8.2.2              [.] 0x00000000000470a5
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000022599
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000024b5e
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000001d9a6
     0.00%  program  libopencv_imgcodecs.so.4.5.5  [.] 0x0000000000020780
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000002630b
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b000
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000023145
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b18b
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b35a
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b25b
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000026270
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000024bf2
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004a79e
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b3a4
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000022ec0
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000035626
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b42a
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000024d00
     0.00%  program  libjpeg.so.8.2.2              [.] 0x00000000000260b6
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000002c0f1
     0.00%  program  libc.so.6                     [.] __cxa_finalize
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000001dac0
     0.00%  program  libjpeg.so.8.2.2              [.] 0x00000000000261a4
     0.00%  program  libjpeg.so.8.2.2              [.] 0x00000000000252b7
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000002617d
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000002cbcb
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000002627b
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000001d877
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000035231
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000001db18
     0.00%  program  libopencv_imgcodecs.so.4.5.5  [.] 0x0000000000020472
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000001be90
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004aad2
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000002c058
     0.00%  program  libopencv_imgcodecs.so.4.5.5  [.] 0x0000000000016466
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000001d956
     0.00%  program  libjpeg.so.8.2.2              [.] 0x00000000000275d2
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000001d16f
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000001d964
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000022a9f
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000025366
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000034fc6
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b3be
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000001da0d
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b26b
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b163
     0.00%  program  libopencv_imgcodecs.so.4.5.5  [.] 0x000000000001658b
     0.00%  program  libopencv_imgcodecs.so.4.5.5  [.] 0x0000000000020860
     0.00%  program  libopencv_imgcodecs.so.4.5.5  [.] 0x00000000000139de
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000024973
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000003524b
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004722c
     0.00%  program  libopencv_imgcodecs.so.4.5.5  [.] 0x0000000000020620
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004a9be
     0.00%  program  libjpeg.so.8.2.2              [.] 0x00000000000226ef
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000022726
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000002c0db
     0.00%  program  libopencv_core.so.4.5.5       [.] 0x0000000000268d34
     0.00%  program  libopencv_imgcodecs.so.4.5.5  [.] 0x0000000000016765
     0.00%  program  libopencv_imgcodecs.so.4.5.5  [.] 0x0000000000016528
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000026bea
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000034f5c
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b004
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000002279f
     0.00%  program  libopencv_imgcodecs.so.4.5.5  [.] 0x000000000002076d
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000047398
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b15d
     0.00%  program  libopencv_imgcodecs.so.4.5.5  [.] 0x000000000003fcbd
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000024dce
     0.00%  program  libjpeg.so.8.2.2              [.] 0x00000000000472a1
     0.00%  program  libopencv_imgcodecs.so.4.5.5  [.] 0x0000000000011254
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000001d91f
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004732f
     0.00%  program  libopencv_imgcodecs.so.4.5.5  [.] 0x0000000000013b13
     0.00%  program  libjpeg.so.8.2.2              [.] 0x00000000000226af
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000022862
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000047201
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000024e97
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000022752
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004a9b1
     0.00%  program  libjpeg.so.8.2.2              [.] 0x00000000000249b4
     0.00%  program  libjpeg.so.8.2.2              [.] jinit_marker_reader
     0.00%  program  libjpeg.so.8.2.2              [.] jinit_color_deconverter
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000047021
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000002264d
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000001d8d0
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000002c0f5
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000026840
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b3da
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000027666
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000022a43
     0.00%  program  libopencv_imgcodecs.so.4.5.5  [.] 0x00000000000165aa
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000024528
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000024525
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004725b
     0.00%  program  libjpeg.so.8.2.2              [.] 0x00000000000249e4
     0.00%  program  libjpeg.so.8.2.2              [.] jpeg_start_decompress
     0.00%  program  libc.so.6                     [.] __default_morecore@GLIBC_2.2.5
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b04d
     0.00%  program  libjpeg.so.8.2.2              [.] 0x00000000000470b7
     0.00%  program  libopencv_core.so.4.5.5       [.] 0x00000000001a5fba
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b2e4
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000024b6a
     0.00%  program  libjpeg.so.8.2.2              [.] 0x00000000000471f5
     0.00%  program  libopencv_imgcodecs.so.4.5.5  [.] 0x000000000003fba2
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000001d90d
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000022570
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000002c0a3
     0.00%  program  libopencv_imgcodecs.so.4.5.5  [.] 0x00000000000201c4
     0.00%  program  libc.so.6                     [.] _setjmp
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004a9a3
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000002264b
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000024d57
     0.00%  program  libjpeg.so.8.2.2              [.] 0x00000000000270d7
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000002c01d
     0.00%  program  libjpeg.so.8.2.2              [.] 0x00000000000269d4
     0.00%  program  libstdc++.so.6.0.29           [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_create
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000002287a
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b4a0
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000002c10b
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000002c00b
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000022718
     0.00%  program  libjpeg.so.8.2.2              [.] 0x00000000000471be
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b2ec
     0.00%  program  libjpeg.so.8.2.2              [.] 0x00000000000228ad
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b023
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000047223
     0.00%  program  libjpeg.so.8.2.2              [.] jpeg_free_small
     0.00%  program  libopencv_core.so.4.5.5       [.] 0x000000000038755a
     0.00%  program  libstdc++.so.6.0.29           [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::find
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000022aad
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b45a
     0.00%  program  libjpeg.so.8.2.2              [.] 0x00000000000268cc
     0.00%  program  program                       [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_create@plt
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000035200
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000024c10
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000024b92
     0.00%  program  libc.so.6                     [.] _IO_file_finish@@GLIBC_2.2.5
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000025e4c
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b1c4
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004705e
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004a751
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004a721
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b40a
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000022eac
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000024a60
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b215
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000021860
     0.00%  program  libjpeg.so.8.2.2              [.] 0x00000000000227eb
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000002bfff
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004a83a
     0.00%  program  libc.so.6                     [.] 0x000000000002c3d0
     0.00%  program  libopencv_imgcodecs.so.4.5.5  [.] 0x00000000000166f7
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004a717
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000034fd6
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000001da09
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b3b9
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000002762f
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000024b52
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000047239
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000024290
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000047163
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004a710
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000022f7b
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000022a68
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000022a90
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000002691a
     0.00%  program  program                       [.] _init
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000034fce
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000034fbc
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000024b71
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004a7e0
     0.00%  program  libopencv_core.so.4.5.5       [.] 0x00000000001afbf0
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000024b66
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000001d85d
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004a9d9
     0.00%  program  libopencv_imgcodecs.so.4.5.5  [.] 0x000000000002086f
     0.00%  program  libjpeg.so.8.2.2              [.] jround_up
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000025dd6
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b26f
     0.00%  program  libjpeg.so.8.2.2              [.] jinit_d_coef_controller
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004737c
     0.00%  program  libjpeg.so.8.2.2              [.] 0x00000000000265a7
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b1af
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000001d8c2
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000025189
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000002bff0
     0.00%  program  libjpeg.so.8.2.2              [.] 0x00000000000263ca
     0.00%  program  libjpeg.so.8.2.2              [.] 0x00000000000252dc
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b1ef
     0.00%  program  libopencv_imgcodecs.so.4.5.5  [.] 0x0000000000011250
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004bd13
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000035056
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000001ef70
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004bdf2
     0.00%  program  libopencv_core.so.4.5.5       [.] 0x000000000038752d
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000002c130
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004c5d9
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000026d3f
     0.00%  program  libgomp.so.1.0.0              [.] gomp_thread_start
     0.00%  program  libopencv_imgcodecs.so.4.5.5  [.] 0x0000000000020910
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b115
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b3b4
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000026438
     0.00%  program  libjpeg.so.8.2.2              [.] 0x00000000000242b6
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000024799
     0.00%  program  libopencv_core.so.4.5.5       [.] 0x00000000001afdd0
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004713d
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000022892
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000047101
     0.00%  program  libjpeg.so.8.2.2              [.] 0x00000000000245e0
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000002cc00
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b17f
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000026480
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000035861
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000026c93
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000035602
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b0cc
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b420
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000022910
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000022743
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000034fc0
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000022825
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000002c021
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004aa57
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000034ff4
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004aa45
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000022a4f
     0.00%  program  libc.so.6                     [.] _IO_sgetn
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000022767
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000024780
     0.00%  program  libjpeg.so.8.2.2              [.] 0x00000000000228a9
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b47a
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000022774
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b33a
     0.00%  program  libopencv_core.so.4.5.5       [.] cv::Mat::deallocate
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004aa29
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000035084
     0.00%  program  libopencv_core.so.4.5.5       [.] 0x00000000003875ca
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b870
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000047350
     0.00%  program  libjpeg.so.8.2.2              [.] jinit_inverse_dct
     0.00%  program  libopencv_core.so.4.5.5       [.] cv::UMatData::UMatData
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000001d97d
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004a708
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000022732
     0.00%  program  libjpeg.so.8.2.2              [.] jpeg_free_large
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b16b
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000001d979
     0.00%  program  libjpeg.so.8.2.2              [.] 0x00000000000260d1
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000034f8d
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000026590
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000047227
     0.00%  program  libc.so.6                     [.] __sigjmp_save
     0.00%  program  libopencv_core.so.4.5.5       [.] 0x00000000001a6040
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000026b3d
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000003580d
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000026621
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000001d1ab
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000002274e
     0.00%  program  libc.so.6                     [.] __fstat64
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b2b3
     0.00%  program  libjpeg.so.8.2.2              [.] 0x00000000000226a4
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000025e65
     0.00%  program  libjpeg.so.8.2.2              [.] 0x00000000000242b2
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000001d8ac
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000034ff6
     0.00%  program  libjpeg.so.8.2.2              [.] 0x00000000000226b3
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000002600d
     0.00%  program  ld-linux-x86-64.so.2          [.] _dl_check_map_versions
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004a97f
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000047141
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004708b
     0.00%  program  ld-linux-x86-64.so.2          [.] openaux
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000047209
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000024d73
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b277
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b001
     0.00%  program  ld-linux-x86-64.so.2          [.] _dl_name_match_p
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000026c36
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004aae0
     0.00%  program  ld-linux-x86-64.so.2          [.] _dl_map_object_deps
     0.00%  program  libjpeg.so.8.2.2              [.] 0x00000000000228eb
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b41a
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004a92f
     0.00%  program  libopencv_imgcodecs.so.4.5.5  [.] 0x0000000000020876
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000025dd2
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004727c
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000002496f
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004a960
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000002c0b8
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b432
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b37a
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b1a3
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000022618
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b4e5
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000022849
     0.00%  program  libjpeg.so.8.2.2              [.] 0x00000000000471c3
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000001d8fd
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000022623
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b43a
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000026fc0
     0.00%  program  libc.so.6                     [.] start_thread
     0.00%  program  libc.so.6                     [.] __clone
     0.00%  program  program                       [.] Softmax_layer::Softmax_start
     0.00%  program  libgomp.so.1.0.0              [.] gomp_team_barrier_wait_final
     0.00%  program  libc.so.6                     [.] __ctype_init


#
# (Tip: Limit to show entries above 5% only: perf report --percent-limit 5)
#
