# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 75K of event 'cycles:u'
# Event count (approx.): 34212682593
#
# Overhead  Command  Shared Object                 Symbol                                                                                                                                                                                               
# ........  .......  ............................  .....................................................................................................................................................................................................
#
     0.01%  program  libjpeg.so.8.2.2              [.] jpeg_calc_output_dimensions
     0.01%  program  libjpeg.so.8.2.2              [.] 0x000000000002282e
     0.01%  program  libjpeg.so.8.2.2              [.] 0x0000000000022823
     0.01%  program  libjpeg.so.8.2.2              [.] 0x0000000000021864
     0.01%  program  libjpeg.so.8.2.2              [.] jpeg_stdio_src
     0.01%  program  libc.so.6                     [.] _IO_link_in
     0.01%  program  libc.so.6                     [.] _IO_doallocbuf
     0.01%  program  libjpeg.so.8.2.2              [.] jpeg_CreateDecompress
     0.01%  program  libjpeg.so.8.2.2              [.] 0x000000000002278f
     0.01%  program  libjpeg.so.8.2.2              [.] jinit_memory_mgr
     0.01%  program  libc.so.6                     [.] _IO_setb
     0.01%  program  libjpeg.so.8.2.2              [.] jinit_upsampler
     0.01%  program  libc.so.6                     [.] __memcmp_avx2_movbe
     0.01%  program  libjpeg.so.8.2.2              [.] 0x0000000000022797
     0.01%  program  libc.so.6                     [.] __strstr_sse2
     0.01%  program  libc.so.6                     [.] __GI___libc_cleanup_push_defer
     0.01%  program  libjpeg.so.8.2.2              [.] 0x00000000000228b4
     0.01%  program  libc.so.6                     [.] getenv
     0.01%  program  program                       [.] Softmax_layer::Flatten
     0.01%  program  libjpeg.so.8.2.2              [.] 0x0000000000022852
     0.01%  program  libjpeg.so.8.2.2              [.] jpeg_consume_input
     0.01%  program  libjpeg.so.8.2.2              [.] 0x000000000004b0f2
     0.01%  program  libc.so.6                     [.] __close_nocancel
     0.01%  program  libjpeg.so.8.2.2              [.] 0x00000000000227cf
     0.01%  program  libgomp.so.1.0.0              [.] GOMP_loop_nonmonotonic_dynamic_start
     0.01%  program  libjpeg.so.8.2.2              [.] 0x000000000002699a
     0.01%  program  libjpeg.so.8.2.2              [.] 0x000000000004739c
     0.01%  program  libc.so.6                     [.] _IO_file_underflow@@GLIBC_2.2.5
     0.01%  program  libjpeg.so.8.2.2              [.] 0x000000000002281e
     0.01%  program  libjpeg.so.8.2.2              [.] 0x0000000000022703
     0.01%  program  libjpeg.so.8.2.2              [.] 0x000000000002284f
     0.01%  program  libjpeg.so.8.2.2              [.] 0x0000000000022a3d
     0.01%  program  libjpeg.so.8.2.2              [.] 0x0000000000034fb3
     0.01%  program  libm.so.6                     [.] exp@@GLIBC_2.29
     0.01%  program  libjpeg.so.8.2.2              [.] 0x00000000000470bb
     0.01%  program  libc.so.6                     [.] sysmalloc
     0.01%  program  libopencv_imgcodecs.so.4.5.5  [.] 0x0000000000020daa
     0.01%  program  libopencv_imgcodecs.so.4.5.5  [.] 0x0000000000020da8
     0.01%  program  libjpeg.so.8.2.2              [.] 0x0000000000022a38
     0.01%  program  libm.so.6                     [.] __sin_fma
     0.01%  program  libopencv_core.so.4.5.5       [.] cv::Mat::Mat
     0.01%  program  libjpeg.so.8.2.2              [.] 0x0000000000022835
     0.01%  program  libjpeg.so.8.2.2              [.] 0x000000000004b245
     0.01%  program  libc.so.6                     [.] __GI___pthread_disable_asynccancel
     0.01%  program  libc.so.6                     [.] __mempcpy_avx_unaligned_erms
     0.01%  program  libjpeg.so.8.2.2              [.] 0x000000000004bb0e
     0.01%  program  libc.so.6                     [.] read
     0.00%  program  libopencv_core.so.4.5.5       [.] cv::Mat::create
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b3ac
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000002276a
     0.00%  program  libjpeg.so.8.2.2              [.] jpeg_std_error
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000002c07b
     0.00%  program  libopencv_core.so.4.5.5       [.] cv::fastMalloc
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000024b50
     0.00%  program  libjpeg.so.8.2.2              [.] 0x00000000000226db
     0.00%  program  libjpeg.so.8.2.2              [.] 0x00000000000260c1
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b2b9
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b376
     0.00%  program  libc.so.6                     [.] __underflow
     0.00%  program  libjpeg.so.8.2.2              [.] 0x00000000000260b9
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000022a4b
     0.00%  program  libjpeg.so.8.2.2              [.] 0x00000000000472bf
     0.00%  program  libc.so.6                     [.] __GI__IO_un_link.part.0
     0.00%  program  libjpeg.so.8.2.2              [.] jpeg_abort
     0.00%  program  libopencv_core.so.4.5.5       [.] cv::utils::trace::details::TraceManager::isActivated
     0.00%  program  libjpeg.so.8.2.2              [.] jinit_huff_decoder
     0.00%  program  libjpeg.so.8.2.2              [.] 0x00000000000228a0
     0.00%  program  libjpeg.so.8.2.2              [.] jpeg_get_small
     0.00%  program  libc.so.6                     [.] _IO_default_finish
     0.00%  program  libc.so.6                     [.] __GI___pthread_enable_asynccancel
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000024bc5
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000002277a
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004a924
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000001d99f
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000034f90
     0.00%  program  libc.so.6                     [.] __strchr_avx2
     0.00%  program  libjpeg.so.8.2.2              [.] jpeg_alloc_huff_table
     0.00%  program  libm.so.6                     [.] __ieee754_log_fma
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000047375
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000034fe4
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000025f70
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004a823
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b456
     0.00%  program  libopencv_imgcodecs.so.4.5.5  [.] 0x00000000000166fe
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000001da47
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b46e
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004a72b
     0.00%  program  libjpeg.so.8.2.2              [.] 0x00000000000269d8
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000026265
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b4d1
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b31c
     0.00%  program  program                       [.] std::vector<double, std::allocator<double> >::emplace_back<double>
     0.00%  program  libc.so.6                     [.] _IO_new_file_init_internal
     0.00%  program  libopencv_imgcodecs.so.4.5.5  [.] 0x00000000000110e0
     0.00%  program  libjpeg.so.8.2.2              [.] 0x00000000000227fd
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000034f52
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b018
     0.00%  program  libjpeg.so.8.2.2              [.] jinit_d_main_controller
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b3f8
     0.00%  program  libopencv_imgcodecs.so.4.5.5  [.] 0x000000000001658e
     0.00%  program  libjpeg.so.8.2.2              [.] jpeg_read_header
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000001d93f
     0.00%  program  libc.so.6                     [.] fclose@@GLIBC_2.2.5
     0.00%  program  libjpeg.so.8.2.2              [.] 0x00000000000226f8
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004aaf5
     0.00%  program  libgomp.so.1.0.0              [.] gomp_malloc
     0.00%  program  ld-linux-x86-64.so.2          [.] _dl_map_object
     0.00%  program  libjpeg.so.8.2.2              [.] 0x00000000000227f0
     0.00%  program  libopencv_imgcodecs.so.4.5.5  [.] 0x0000000000026900
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000034f9c
     0.00%  program  libopencv_core.so.4.5.5       [.] cv::Mat::operator=
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b1c9
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b27f
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000002c0f9
     0.00%  program  libopencv_imgcodecs.so.4.5.5  [.] 0x0000000000020635
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004a7db
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b1a7
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000001da15
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000002275f
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000001d9c2
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004aab1
     0.00%  program  libopencv_imgcodecs.so.4.5.5  [.] 0x000000000001f5f0
     0.00%  program  libopencv_core.so.4.5.5       [.] cv::Mat::release
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000002c109
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000002272a
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b314
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000024ba6
     0.00%  program  libc.so.6                     [.] _IO_file_close_it@@GLIBC_2.2.5
     0.00%  program  libjpeg.so.8.2.2              [.] 0x00000000000350cf
     0.00%  program  libjpeg.so.8.2.2              [.] 0x00000000000471a4
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000026269
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000002767e
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000002281b
     0.00%  program  libopencv_core.so.4.5.5       [.] cv::Mat::~Mat
